z_span,x_chord,side,cp,p_static_kpa,mach_local
-0.5,0.16981,upper,-0.1678,103.74,0.9094
-0.5,0.16981,lower,0.1966,98.496,nan
-0.5,0.1761,upper,-0.1794,103.907,0.9149
-0.5,0.1761,lower,0.1558,99.084,nan
-0.5,0.18239,upper,-0.1177,103.018,0.8829
-0.5,0.18239,lower,0.1729,98.837,nan
-0.5,0.18868,upper,-0.1089,102.891,0.8809
-0.5,0.18868,lower,0.1209,99.586,nan
-0.5,0.19497,upper,-0.1383,103.315,0.9019
-0.5,0.19497,lower,0.0381,100.776,nan
-0.5,0.20126,upper,-0.1479,103.454,0.9091
-0.5,0.20126,lower,0.072,100.289,nan
-0.5,0.20755,upper,-0.0716,102.355,0.8533
-0.5,0.20755,lower,0.1355,99.375,nan
-0.5,0.21384,upper,-0.0689,102.316,0.8618
-0.5,0.21384,lower,0.0775,100.209,nan
-0.5,0.22013,upper,-0.0195,101.606,0.8204
-0.5,0.22013,lower,0.0736,100.266,nan
-0.5,0.22642,upper,-0.0721,102.363,0.8557
-0.5,0.22642,lower,0.1126,99.705,nan
-0.5,0.2327,upper,-0.0095,101.461,0.8113
-0.5,0.2327,lower,0.0382,100.775,nan
-0.5,0.23899,upper,-0.0566,102.14,0.8562
-0.5,0.23899,lower,0.0441,100.691,nan
-0.5,0.24528,upper,-0.0797,102.471,0.8639
-0.5,0.24528,lower,0.1104,99.737,nan
-0.5,0.25157,upper,-0.0632,102.235,0.8632
-0.5,0.25157,lower,0.0976,99.921,nan
-0.5,0.25786,upper,-0.0291,101.744,0.8295
-0.5,0.25786,lower,-0.0169,101.569,0.8275
-0.5,0.26415,upper,-0.0185,101.591,0.8241
-0.5,0.26415,lower,0.0152,101.107,nan
-0.5,0.27044,upper,-0.0328,101.797,0.8368
-0.5,0.27044,lower,-0.0001,101.326,0.7731
-0.5,0.27673,upper,0.0362,100.805,nan
-0.5,0.27673,lower,0.0465,100.656,nan
-0.5,0.28302,upper,-0.023,101.656,0.8244
-0.5,0.28302,lower,0.0562,100.516,nan
-0.5,0.28931,upper,-0.0101,101.47,0.8123
-0.5,0.28931,lower,0.0735,100.267,nan
-0.5,0.2956,upper,0.0111,101.165,nan
-0.5,0.2956,lower,-0.0176,101.578,0.8301
-0.5,0.30189,upper,0.0339,100.838,nan
-0.5,0.30189,lower,0.0484,100.629,nan
-0.5,0.30818,upper,0.0312,100.876,nan
-0.5,0.30818,lower,0.0123,101.148,nan
-0.5,0.31447,upper,-0.0396,101.895,0.8506
-0.5,0.31447,lower,0.0446,100.683,nan
-0.5,0.32075,upper,0.0716,100.295,nan
-0.5,0.32075,lower,-0.0136,101.52,0.8038
-0.5,0.32704,upper,0.036,100.807,nan
-0.5,0.32704,lower,0.0254,100.959,nan
-0.5,0.33333,upper,-0.0486,102.024,0.8337
-0.5,0.33333,lower,0.0344,100.83,nan
-0.5,0.33962,upper,0.0017,101.3,nan
-0.5,0.33962,lower,-0.0052,101.4,0.791
-0.5,0.34591,upper,0.0058,101.242,nan
-0.5,0.34591,lower,-0.0329,101.799,0.8421
-0.5,0.3522,upper,0.0107,101.172,nan
-0.5,0.3522,lower,-0.0103,101.473,0.8071
-0.5,0.35849,upper,-0.021,101.628,0.8193
-0.5,0.35849,lower,0.0311,100.878,nan
-0.5,0.36478,upper,0.0275,100.93,nan
-0.5,0.36478,lower,0.095,99.957,nan
-0.5,0.37107,upper,0.0471,100.648,nan
-0.5,0.37107,lower,0.0237,100.984,nan
-0.5,0.37736,upper,0.0008,101.313,nan
-0.5,0.37736,lower,0.0213,101.018,nan
-0.5,0.38365,upper,0.0077,101.215,nan
-0.5,0.38365,lower,0.0236,100.986,nan
-0.5,0.38994,upper,-0.0055,101.404,0.788
-0.5,0.38994,lower,-0.0893,102.61,0.8714
-0.5,0.39623,upper,0.0662,100.372,nan
-0.5,0.39623,lower,-0.0164,101.56,0.8134
-0.5,0.40252,upper,0.0599,100.463,nan
-0.5,0.40252,lower,0.0266,100.942,nan
-0.5,0.40881,upper,0.0225,101.002,nan
-0.5,0.40881,lower,0.0445,100.684,nan
-0.5,0.41509,upper,-0.0146,101.535,0.8228
-0.5,0.41509,lower,0.0016,101.303,nan
-0.5,0.42138,upper,-0.0219,101.64,0.8262
-0.5,0.42138,lower,0.0256,100.957,nan
-0.5,0.42767,upper,0.0836,100.122,nan
-0.5,0.42767,lower,0.01,101.181,nan
-0.5,0.43396,upper,0.0374,100.788,nan
-0.5,0.43396,lower,0.0354,100.816,nan
-0.5,0.44025,upper,0.0278,100.925,nan
-0.5,0.44025,lower,0.0176,101.072,nan
-0.5,0.44654,upper,0.0672,100.358,nan
-0.5,0.44654,lower,0.0273,100.933,nan
-0.5,0.45283,upper,0.007,101.224,nan
-0.5,0.45283,lower,-0.0356,101.838,0.853
-0.5,0.45912,upper,0.0611,100.446,nan
-0.5,0.45912,lower,0.0519,100.578,nan
-0.5,0.46541,upper,0.0359,100.809,nan
-0.5,0.46541,lower,0.0219,101.009,nan
-0.5,0.4717,upper,0.0824,100.139,nan
-0.5,0.4717,lower,0.0277,100.927,nan
-0.5,0.47799,upper,0.0086,101.201,nan
-0.5,0.47799,lower,0.0482,100.632,nan
-0.5,0.48428,upper,0.0204,101.032,nan
-0.5,0.48428,lower,0.029,100.908,nan
-0.5,0.49057,upper,0.0208,101.025,nan
-0.5,0.49057,lower,0.0246,100.971,nan
-0.5,0.49686,upper,-0.0185,101.592,0.8217
-0.5,0.49686,lower,0.0036,101.273,nan
-0.5,0.50314,upper,0.0138,101.127,nan
-0.5,0.50314,lower,0.0884,100.053,nan
-0.5,0.50943,upper,0.0244,100.974,nan
-0.5,0.50943,lower,0.037,100.793,nan
-0.5,0.51572,upper,0.0679,100.347,nan
-0.5,0.51572,lower,0.0305,100.885,nan
-0.5,0.52201,upper,0.0239,100.981,nan
-0.5,0.52201,lower,-0.0007,101.335,0.7797
-0.5,0.5283,upper,0.117,99.642,nan
-0.5,0.5283,lower,0.0852,100.099,nan
-0.5,0.53459,upper,0.0972,99.926,nan
-0.5,0.53459,lower,0.1216,99.575,nan
-0.5,0.54088,upper,0.0888,100.047,nan
-0.5,0.54088,lower,0.0626,100.424,nan
-0.5,0.54717,upper,0.1716,98.856,nan
-0.5,0.54717,lower,0.0415,100.728,nan
-0.5,0.55346,upper,0.1853,98.659,nan
-0.5,0.55346,lower,0.0923,99.997,nan
-0.5,0.55975,upper,0.2115,98.282,nan
-0.5,0.55975,lower,0.1088,99.76,nan
-0.5,0.56604,upper,0.2969,97.053,nan
-0.5,0.56604,lower,0.1427,99.272,nan
-0.5,0.57233,upper,0.2874,97.189,nan
-0.5,0.57233,lower,0.0777,100.206,nan
-0.5,0.57862,upper,0.4512,94.833,nan
-0.5,0.57862,lower,0.1672,98.919,nan
-0.5,0.58491,upper,0.487,94.317,nan
-0.5,0.58491,lower,0.2227,98.121,nan
-0.5,0.59119,upper,0.5857,92.898,nan
-0.5,0.59119,lower,0.1871,98.633,nan
-0.5,0.59748,upper,0.6449,92.046,nan
-0.5,0.59748,lower,0.2581,97.611,nan
-0.5,0.60377,upper,0.7545,90.469,nan
-0.5,0.60377,lower,0.315,96.793,nan
-0.5,0.61006,upper,0.788,89.988,nan
-0.5,0.61006,lower,0.2828,97.256,nan
-0.5,0.61635,upper,0.7684,90.269,nan
-0.5,0.61635,lower,0.34,96.432,nan
-0.5,0.62264,upper,0.8559,89.01,nan
-0.5,0.62264,lower,0.264,97.526,nan
-0.5,0.62893,upper,0.8808,88.652,nan
-0.5,0.62893,lower,0.3211,96.705,nan
-0.5,0.63522,upper,0.9018,88.35,nan
-0.5,0.63522,lower,0.3091,96.878,nan
-0.5,0.64151,upper,0.9253,88.011,nan
-0.5,0.64151,lower,0.3944,95.651,nan
-0.5,0.6478,upper,0.9669,87.413,nan
-0.5,0.6478,lower,0.3411,96.418,nan
-0.5,0.65409,upper,1.0167,86.697,nan
-0.5,0.65409,lower,0.4102,95.423,nan
-0.5,0.66038,upper,0.9395,87.807,nan
-0.5,0.66038,lower,0.3437,96.379,nan
-0.5,0.66667,upper,0.8944,88.456,nan
-0.5,0.66667,lower,0.3709,95.988,nan
-0.5,0.67296,upper,0.924,88.031,nan
-0.5,0.67296,lower,0.359,96.16,nan
-0.5,0.67925,upper,0.9151,88.158,nan
-0.5,0.67925,lower,0.3261,96.632,nan
-0.5,0.68553,upper,0.9444,87.736,nan
-0.5,0.68553,lower,0.3097,96.869,nan
-0.5,0.69182,upper,0.925,88.015,nan
-0.5,0.69182,lower,0.3942,95.654,nan
-0.5,0.69811,upper,1.0016,86.914,nan
-0.5,0.69811,lower,0.3788,95.875,nan
-0.5,0.7044,upper,0.924,88.031,nan
-0.5,0.7044,lower,0.3607,96.135,nan
-0.5,0.71069,upper,0.9498,87.66,nan
-0.5,0.71069,lower,0.3634,96.096,nan
-0.5,0.71698,upper,0.9859,87.139,nan
-0.5,0.71698,lower,0.3664,96.053,nan
-0.5,0.72327,upper,0.9761,87.281,nan
-0.5,0.72327,lower,0.3054,96.931,nan
-0.5,0.72956,upper,0.9929,87.039,nan
-0.5,0.72956,lower,0.3313,96.558,nan
-0.5,0.73585,upper,0.9155,88.153,nan
-0.5,0.73585,lower,0.3419,96.405,nan
-0.5,0.74214,upper,0.9763,87.278,nan
-0.5,0.74214,lower,0.3861,95.769,nan
-0.5,0.74843,upper,0.9143,88.17,nan
-0.5,0.74843,lower,0.4369,95.039,nan
-0.5,0.75472,upper,0.9661,87.425,nan
-0.5,0.75472,lower,0.3782,95.884,nan
-0.5,0.76101,upper,1.0251,86.575,nan
-0.5,0.76101,lower,0.3189,96.737,nan
-0.5,0.7673,upper,0.9125,88.196,nan
-0.5,0.7673,lower,0.4029,95.528,nan
-0.5,0.77358,upper,0.9113,88.212,nan
-0.5,0.77358,lower,0.4237,95.228,nan
-0.5,0.77987,upper,0.9793,87.235,nan
-0.5,0.77987,lower,0.4123,95.393,nan
-0.5,0.78616,upper,0.9517,87.631,nan
-0.5,0.78616,lower,0.3425,96.397,nan
-0.5,0.79245,upper,0.9913,87.062,nan
-0.5,0.79245,lower,0.3471,96.33,nan
-0.5,0.79874,upper,0.9497,87.661,nan
-0.5,0.79874,lower,0.3755,95.922,nan
-0.5,0.80503,upper,0.9251,88.015,nan
-0.5,0.80503,lower,0.378,95.886,nan
-0.5,0.81132,upper,1.0306,86.497,nan
-0.5,0.81132,lower,0.3535,96.239,nan
-0.5,0.81761,upper,0.9449,87.729,nan
-0.5,0.81761,lower,0.3791,95.87,nan
-0.5,0.8239,upper,0.9883,87.105,nan
-0.5,0.8239,lower,0.3909,95.701,nan
-0.5,0.83019,upper,0.9426,87.762,nan
-0.5,0.83019,lower,0.3748,95.933,nan
-0.5,0.83648,upper,0.9772,87.264,nan
-0.5,0.83648,lower,0.3364,96.485,nan
-0.5,0.84277,upper,0.923,88.044,nan
-0.5,0.84277,lower,0.3747,95.933,nan
-0.5,0.84906,upper,0.9742,87.307,nan
-0.5,0.84906,lower,0.3805,95.85,nan
-0.5,0.85535,upper,0.959,87.527,nan
-0.5,0.85535,lower,0.3776,95.891,nan
-0.5,0.86164,upper,0.9763,87.277,nan
-0.5,0.86164,lower,0.3964,95.622,nan
-0.5,0.86792,upper,0.9693,87.379,nan
-0.5,0.86792,lower,0.4085,95.447,nan
-0.5,0.87421,upper,0.9914,87.06,nan
-0.5,0.87421,lower,0.4002,95.566,nan
-0.5,0.8805,upper,0.9536,87.605,nan
-0.5,0.8805,lower,0.4137,95.372,nan
-0.5,0.88679,upper,0.9848,87.155,nan
-0.5,0.88679,lower,0.4114,95.405,nan
-0.5,0.89308,upper,1.0141,86.733,nan
-0.5,0.89308,lower,0.3393,96.443,nan
-0.5,0.89937,upper,0.9749,87.298,nan
-0.5,0.89937,lower,0.4082,95.451,nan
-0.5,0.90566,upper,0.9359,87.859,nan
-0.5,0.90566,lower,0.4408,94.982,nan
-0.5,0.91195,upper,0.9921,87.051,nan
-0.5,0.91195,lower,0.4534,94.801,nan
-0.5,0.91824,upper,0.9755,87.289,nan
-0.5,0.91824,lower,0.3747,95.934,nan
-0.5,0.92453,upper,0.9992,86.948,nan
-0.5,0.92453,lower,0.4352,95.063,nan
-0.5,0.93082,upper,0.9849,87.154,nan
-0.5,0.93082,lower,0.4223,95.249,nan
-0.5,0.93711,upper,1.0023,86.904,nan
-0.5,0.93711,lower,0.4161,95.338,nan
-0.5,0.9434,upper,0.9326,87.906,nan
-0.5,0.9434,lower,0.4031,95.525,nan
-0.5,0.94969,upper,0.9323,87.911,nan
-0.5,0.94969,lower,0.3857,95.775,nan
-0.5,0.95597,upper,0.9146,88.165,nan
-0.5,0.95597,lower,0.44,94.995,nan
-0.5,0.96226,upper,0.9745,87.304,nan
-0.5,0.96226,lower,0.437,95.037,nan
-0.5,0.96855,upper,0.9933,87.033,nan
-0.5,0.96855,lower,0.4365,95.044,nan
-0.5,0.97484,upper,1.0397,86.365,nan
-0.5,0.97484,lower,0.4256,95.202,nan
-0.5,0.98113,upper,0.9838,87.17,nan
-0.5,0.98113,lower,0.4494,94.859,nan
-0.5,0.98742,upper,1.0003,86.933,nan
-0.5,0.98742,lower,0.4278,95.17,nan
-0.5,0.99371,upper,1.0089,86.808,nan
-0.5,0.99371,lower,0.3912,95.697,nan
-0.5,1.0,upper,1.0131,86.749,nan
-0.5,1.0,lower,0.4716,94.54,nan
-0.4787,0.0,upper,-3.238,147.914,1.3585
-0.4787,0.0,lower,3.1709,55.701,nan
-0.4787,0.00629,upper,-2.8503,142.336,1.3242
-0.4787,0.00629,lower,2.8927,59.704,nan
-0.4787,0.01258,upper,-2.5622,138.19,1.2903
-0.4787,0.01258,lower,2.6261,63.54,nan
-0.4787,0.01887,upper,-2.3676,135.39,1.274
-0.4787,0.01887,lower,2.3035,68.182,nan
-0.4787,0.02516,upper,-2.0934,131.446,1.2356
-0.4787,0.02516,lower,2.0963,71.163,nan
-0.4787,0.03145,upper,-1.8583,128.063,1.2112
-0.4787,0.03145,lower,1.867,74.462,nan
-0.4787,0.03774,upper,-1.6206,124.643,1.2034
-0.4787,0.03774,lower,1.694,76.952,nan
-0.4787,0.04403,upper,-1.4727,122.515,1.1673
-0.4787,0.04403,lower,1.4858,79.947,nan
-0.4787,0.05031,upper,-1.355,120.821,1.1459
-0.4787,0.05031,lower,1.3076,82.511,nan
-0.4787,0.0566,upper,-1.2073,118.696,1.1255
-0.4787,0.0566,lower,1.2209,83.758,nan
-0.4787,0.06289,upper,-1.0826,116.902,1.1103
-0.4787,0.06289,lower,1.1178,85.242,nan
-0.4787,0.06918,upper,-1.0032,115.76,1.0923
-0.4787,0.06918,lower,1.0271,86.547,nan
-0.4787,0.07547,upper,-0.9141,114.477,1.0831
-0.4787,0.07547,lower,0.8781,88.69,nan
-0.4787,0.08176,upper,-0.8519,113.582,1.0671
-0.4787,0.08176,lower,0.7814,90.083,nan
-0.4787,0.08805,upper,-0.6797,111.105,1.0429
-0.4787,0.08805,lower,0.7374,90.715,nan
-0.4787,0.09434,upper,-0.6468,110.631,1.0344
-0.4787,0.09434,lower,0.6812,91.524,nan
-0.4787,0.10063,upper,-0.5481,109.211,1.0128
-0.4787,0.10063,lower,0.6399,92.117,nan
-0.4787,0.10692,upper,-0.4915,108.397,1.0098
-0.4787,0.10692,lower,0.4422,94.962,nan
-0.4787,0.11321,upper,-0.464,108.001,1.0014
-0.4787,0.11321,lower,0.4838,94.365,nan
-0.4787,0.1195,upper,-0.4677,108.054,1.0018
-0.4787,0.1195,lower,0.3861,95.769,nan
-0.4787,0.12579,upper,-0.386,106.879,0.9761
-0.4787,0.12579,lower,0.2884,97.176,nan
-0.4787,0.13208,upper,-0.3167,105.882,0.969
-0.4787,0.13208,lower,0.4001,95.568,nan
-0.4787,0.13836,upper,-0.3535,106.411,0.9631
-0.4787,0.13836,lower,0.2542,97.667,nan
-0.4787,0.14465,upper,-0.256,105.008,0.9259
-0.4787,0.14465,lower,0.2777,97.329,nan
-0.4787,0.15094,upper,-0.22,104.49,0.9292
-0.4787,0.15094,lower,0.2272,98.056,nan
-0.4787,0.15723,upper,-0.2239,104.546,0.9265
-0.4787,0.15723,lower,0.1547,99.099,nan
-0.4787,0.16352,upper,-0.1175,103.016,0.9055
-0.4787,0.16352,lower,0.2379,97.902,nan
-0.4787,0.16981,upper,-0.1853,103.991,0.9293
-0.4787,0.16981,lower,0.1701,98.878,nan
-0.4787,0.1761,upper,-0.1535,103.533,0.9061
-0.4787,0.1761,lower,0.1393,99.321,nan
-0.4787,0.18239,upper,-0.1647,103.695,0.9069
-0.4787,0.18239,lower,0.2187,98.178,nan
-0.4787,0.18868,upper,-0.1203,103.057,0.8953
-0.4787,0.18868,lower,0.1498,99.17,nan
-0.4787,0.19497,upper,-0.106,102.85,0.8915
-0.4787,0.19497,lower,0.1221,99.569,nan
-0.4787,0.20126,upper,-0.0324,101.792,0.8322
-0.4787,0.20126,lower,0.1045,99.821,nan
-0.4787,0.20755,upper,-0.024,101.67,0.8139
-0.4787,0.20755,lower,0.0684,100.341,nan
-0.4787,0.21384,upper,-0.0433,101.949,0.8515
-0.4787,0.21384,lower,0.132,99.426,nan
-0.4787,0.22013,upper,-0.0317,101.781,0.8346
-0.4787,0.22013,lower,0.0521,100.575,nan
-0.4787,0.22642,upper,-0.0824,102.511,0.8553
-0.4787,0.22642,lower,0.0556,100.525,nan
-0.4787,0.2327,upper,-0.066,102.275,0.8652
-0.4787,0.2327,lower,0.0735,100.268,nan
-0.4787,0.23899,upper,-0.044,101.958,0.8349
-0.4787,0.23899,lower,0.0307,100.883,nan
-0.4787,0.24528,upper,-0.074,102.39,0.8706
-0.4787,0.24528,lower,0.0299,100.895,nan
-0.4787,0.25157,upper,-0.002,101.353,0.7933
-0.4787,0.25157,lower,0.0608,100.45,nan
-0.4787,0.25786,upper,0.0003,101.32,nan
-0.4787,0.25786,lower,0.088,100.059,nan
-0.4787,0.26415,upper,-0.004,101.382,0.8034
-0.4787,0.26415,lower,-0.0095,101.461,0.8098
-0.4787,0.27044,upper,-0.023,101.656,0.8302
-0.4787,0.27044,lower,-0.0088,101.452,0.8232
-0.4787,0.27673,upper,-0.0069,101.425,0.797
-0.4787,0.27673,lower,-0.0235,101.664,0.8268
-0.4787,0.28302,upper,-0.0107,101.479,0.8073
-0.4787,0.28302,lower,0.0374,100.787,nan
-0.4787,0.28931,upper,0.0145,101.116,nan
-0.4787,0.28931,lower,0.031,100.879,nan
-0.4787,0.2956,upper,0.0878,100.062,nan
-0.4787,0.2956,lower,0.0145,101.116,nan
-0.4787,0.30189,upper,0.0275,100.93,nan
-0.4787,0.30189,lower,0.0125,101.146,nan
-0.4787,0.30818,upper,-0.0321,101.787,0.8297
-0.4787,0.30818,lower,0.0116,101.158,nan
-0.4787,0.31447,upper,-0.0465,101.995,0.8457
-0.4787,0.31447,lower,0.0325,100.857,nan
-0.4787,0.32075,upper,-0.0563,102.135,0.8522
-0.4787,0.32075,lower,0.0544,100.542,nan
-0.4787,0.32704,upper,0.0047,101.258,nan
-0.4787,0.32704,lower,0.0479,100.635,nan
-0.4787,0.33333,upper,-0.032,101.785,0.8308
-0.4787,0.33333,lower,0.076,100.231,nan
-0.4787,0.33962,upper,0.0509,100.593,nan
-0.4787,0.33962,lower,0.0577,100.494,nan
-0.4787,0.34591,upper,0.0061,101.237,nan
-0.4787,0.34591,lower,0.0514,100.585,nan
-0.4787,0.3522,upper,0.0098,101.183,nan
-0.4787,0.3522,lower,0.0667,100.365,nan
-0.4787,0.35849,upper,-0.047,102.001,0.8471
-0.4787,0.35849,lower,0.0248,100.969,nan
-0.4787,0.36478,upper,0.0611,100.446,nan
-0.4787,0.36478,lower,0.0526,100.568,nan
-0.4787,0.37107,upper,0.0464,100.658,nan
-0.4787,0.37107,lower,0.0512,100.588,nan
-0.4787,0.37736,upper,0.0223,101.004,nan
-0.4787,0.37736,lower,-0.0082,101.443,0.8081
-0.4787,0.38365,upper,0.034,100.837,nan
-0.4787,0.38365,lower,0.009,101.195,nan
-0.4787,0.38994,upper,0.009,101.196,nan
-0.4787,0.38994,lower,0.0199,101.039,nan
-0.4787,0.39623,upper,0.0188,101.055,nan
-0.4787,0.39623,lower,-0.0092,101.457,0.8087
-0.4787,0.40252,upper,0.0436,100.698,nan
-0.4787,0.40252,lower,0.0313,100.874,nan
-0.4787,0.40881,upper,0.0608,100.45,nan
-0.4787,0.40881,lower,0.096,99.944,nan
-0.4787,0.41509,upper,0.0478,100.638,nan
-0.4787,0.41509,lower,0.0291,100.907,nan
-0.4787,0.42138,upper,-0.0236,101.664,0.8376
-0.4787,0.42138,lower,0.0241,100.978,nan
-0.4787,0.42767,upper,0.0299,100.895,nan
-0.4787,0.42767,lower,0.0359,100.808,nan
-0.4787,0.43396,upper,0.0253,100.96,nan
-0.4787,0.43396,lower,0.0083,101.205,nan
-0.4787,0.44025,upper,0.0563,100.514,nan
-0.4787,0.44025,lower,0.0322,100.862,nan
-0.4787,0.44654,upper,0.0619,100.435,nan
-0.4787,0.44654,lower,0.0027,101.286,nan
-0.4787,0.45283,upper,0.068,100.346,nan
-0.4787,0.45283,lower,0.0697,100.323,nan
-0.4787,0.45912,upper,-0.0112,101.487,0.824
-0.4787,0.45912,lower,0.0251,100.964,nan
-0.4787,0.46541,upper,0.0157,101.099,nan
-0.4787,0.46541,lower,0.0708,100.307,nan
-0.4787,0.4717,upper,0.0436,100.698,nan
-0.4787,0.4717,lower,0.0071,101.223,nan
-0.4787,0.47799,upper,0.0295,100.9,nan
-0.4787,0.47799,lower,0.0132,101.136,nan
-0.4787,0.48428,upper,0.0332,100.847,nan
-0.4787,0.48428,lower,0.0163,101.091,nan
-0.4787,0.49057,upper,0.0416,100.726,nan
-0.4787,0.49057,lower,0.0742,100.257,nan
-0.4787,0.49686,upper,0.1161,99.654,nan
-0.4787,0.49686,lower,0.0616,100.438,nan
-0.4787,0.50314,upper,0.1049,99.816,nan
-0.4787,0.50314,lower,-0.0336,101.808,0.8309
-0.4787,0.50943,upper,0.0676,100.353,nan
-0.4787,0.50943,lower,0.0624,100.427,nan
-0.4787,0.51572,upper,0.0662,100.373,nan
-0.4787,0.51572,lower,0.0363,100.803,nan
-0.4787,0.52201,upper,-0.0208,101.625,0.8313
-0.4787,0.52201,lower,0.006,101.239,nan
-0.4787,0.5283,upper,0.0611,100.445,nan
-0.4787,0.5283,lower,0.0594,100.47,nan
-0.4787,0.53459,upper,0.052,100.577,nan
-0.4787,0.53459,lower,0.0509,100.593,nan
-0.4787,0.54088,upper,0.1397,99.315,nan
-0.4787,0.54088,lower,0.0958,99.946,nan
-0.4787,0.54717,upper,0.1272,99.494,nan
-0.4787,0.54717,lower,0.1059,99.802,nan
-0.4787,0.55346,upper,0.1568,99.069,nan
-0.4787,0.55346,lower,0.0843,100.113,nan
-0.4787,0.55975,upper,0.2457,97.79,nan
-0.4787,0.55975,lower,0.1135,99.693,nan
-0.4787,0.56604,upper,0.2771,97.339,nan
-0.4787,0.56604,lower,0.1021,99.856,nan
-0.4787,0.57233,upper,0.3424,96.398,nan
-0.4787,0.57233,lower,0.1735,98.829,nan
-0.4787,0.57862,upper,0.3893,95.723,nan
-0.4787,0.57862,lower,0.1681,98.907,nan
-0.4787,0.58491,upper,0.4709,94.55,nan
-0.4787,0.58491,lower,0.1858,98.652,nan
-0.4787,0.59119,upper,0.5726,93.087,nan
-0.4787,0.59119,lower,0.1966,98.497,nan
-0.4787,0.59748,upper,0.6437,92.064,nan
-0.4787,0.59748,lower,0.1869,98.636,nan
-0.4787,0.60377,upper,0.6295,92.268,nan
-0.4787,0.60377,lower,0.3276,96.612,nan
-0.4787,0.61006,upper,0.7806,90.093,nan
-0.4787,0.61006,lower,0.3027,96.97,nan
-0.4787,0.61635,upper,0.8022,89.783,nan
-0.4787,0.61635,lower,0.3703,95.997,nan
-0.4787,0.62264,upper,0.8453,89.163,nan
-0.4787,0.62264,lower,0.3425,96.397,nan
-0.4787,0.62893,upper,0.8982,88.401,nan
-0.4787,0.62893,lower,0.3933,95.666,nan
-0.4787,0.63522,upper,0.8799,88.665,nan
-0.4787,0.63522,lower,0.3279,96.607,nan
-0.4787,0.64151,upper,0.8968,88.422,nan
-0.4787,0.64151,lower,0.3503,96.285,nan
-0.4787,0.6478,upper,0.9578,87.544,nan
-0.4787,0.6478,lower,0.3201,96.719,nan
-0.4787,0.65409,upper,0.9615,87.491,nan
-0.4787,0.65409,lower,0.3299,96.578,nan
-0.4787,0.66038,upper,0.9629,87.47,nan
-0.4787,0.66038,lower,0.3176,96.755,nan
-0.4787,0.66667,upper,0.9129,88.189,nan
-0.4787,0.66667,lower,0.3851,95.784,nan
-0.4787,0.67296,upper,0.9578,87.544,nan
-0.4787,0.67296,lower,0.4016,95.547,nan
-0.4787,0.67925,upper,0.9741,87.309,nan
