point_id,zone_id,x_over_c,y_mm,z_mm,side,cp,pressure_kpa,shear_pa,mach_local,temp_k,rho_kg_m3,vel_m_s,residual_id
19,1,0.15323,-610.0,0.0021,upper,-0.3451,106.291,11.571,0.9679,324.66,1.1405,349.62,830348
20,1,0.16129,-610.0,-0.0014,upper,-0.3241,105.988,12.137,0.9651,324.58,1.1376,348.55,333636
21,1,0.16935,-610.0,0.009,upper,-0.2425,104.814,9.938,0.9301,324.23,1.1262,335.73,521569
22,1,0.17742,-610.0,-0.0101,upper,-0.2439,104.834,10.697,0.9432,324.24,1.1264,340.46,9026
23,1,0.18548,-610.0,-0.0134,upper,-0.1715,103.793,11.639,0.9093,323.93,1.1162,328.08,412743
24,1,0.19355,-610.0,0.0257,upper,-0.1518,103.509,10.81,0.9077,323.85,1.1135,327.46,928244
25,1,0.20161,-610.0,-0.0043,upper,-0.1415,103.361,9.748,0.9015,323.81,1.112,325.21,262287
26,1,0.20968,-610.0,0.0216,upper,-0.1932,104.105,10.525,0.918,324.03,1.1193,331.27,631037
27,1,0.21774,-610.0,-0.0169,upper,-0.1178,103.019,10.16,0.8868,323.71,1.1087,319.85,395610
28,1,0.22581,-610.0,-0.0036,upper,-0.0888,102.602,9.006,0.8657,323.59,1.1046,312.17,152227
29,1,0.23387,-610.0,-0.0056,upper,-0.0713,102.351,10.034,0.8615,323.51,1.1022,310.61,132786
30,1,0.24194,-610.0,-0.0187,upper,-0.1094,102.899,9.805,0.8814,323.67,1.1075,317.89,468723
31,1,0.25,-610.0,0.0153,upper,-0.0679,102.302,8.956,0.8726,323.5,1.1017,314.62,449668
32,1,0.25806,-610.0,-0.0263,upper,-0.0741,102.391,9.599,0.8728,323.52,1.1026,314.71,824767
33,1,0.26613,-610.0,0.0056,upper,-0.0612,102.205,7.727,0.8514,323.47,1.1007,306.96,900241
34,1,0.27419,-610.0,-0.0423,upper,0.0018,101.298,9.061,0.7845,323.2,1.0919,282.72,298840
35,1,0.28226,-610.0,0.0148,upper,-0.048,102.016,8.111,0.8513,323.41,1.0989,306.92,720311
36,1,0.29032,-610.0,0.0016,upper,-0.0193,101.602,7.334,0.8223,323.29,1.0948,296.38,819578
37,1,0.29839,-610.0,0.0235,upper,0.0131,101.136,7.42,0.7826,323.16,1.0903,282.01,941779
38,1,0.30645,-610.0,0.0415,upper,-0.0265,101.707,8.635,0.8365,323.32,1.0959,301.54,268433
39,1,0.31452,-610.0,-0.013,upper,-0.0085,101.447,7.097,0.8062,323.25,1.0933,290.57,535899
40,1,0.32258,-610.0,0.001,upper,0.0017,101.3,7.09,0.7784,323.2,1.0919,280.54,470654
41,1,0.33065,-610.0,-0.0252,upper,0.0035,101.275,6.679,0.7809,323.2,1.0916,281.43,34458
42,1,0.33871,-610.0,-0.0085,upper,-0.0323,101.79,6.407,0.8319,323.35,1.0967,299.89,756840
43,1,0.34677,-610.0,0.0019,upper,0.0094,101.19,7.634,0.781,323.17,1.0908,281.46,386159
44,1,0.35484,-610.0,0.0014,upper,0.0502,100.602,8.467,0.7795,323.0,1.085,280.84,35577
45,1,0.3629,-610.0,0.0165,upper,-0.0347,101.824,7.622,0.8358,323.36,1.097,301.27,907535
46,1,0.37097,-610.0,0.0107,upper,0.0396,100.755,6.815,0.7752,323.05,1.0865,279.32,791262
47,1,0.37903,-610.0,0.0204,upper,0.0194,101.046,6.866,0.7817,323.13,1.0894,281.69,713798
48,1,0.3871,-610.0,-0.0131,upper,-0.0014,101.345,5.853,0.7968,323.22,1.0923,287.19,370473
49,1,0.39516,-610.0,0.0036,upper,0.0799,100.175,5.594,0.7818,322.88,1.0809,281.63,230861
50,1,0.40323,-610.0,-0.0203,upper,0.045,100.677,4.922,0.7752,323.02,1.0858,279.29,981573
51,1,0.41129,-610.0,-0.0028,upper,-0.0113,101.487,6.856,0.8182,323.26,1.0937,294.9,980443
52,1,0.41935,-610.0,-0.0544,upper,0.03,100.893,5.319,0.7809,323.09,1.0879,281.39,648274
53,1,0.42742,-610.0,-0.0016,upper,0.0489,100.621,4.894,0.7833,323.01,1.0852,282.21,570758
54,1,0.43548,-610.0,0.0016,upper,0.0311,100.877,4.832,0.7865,323.08,1.0877,283.4,495407
55,1,0.44355,-610.0,-0.0088,upper,0.0643,100.4,5.365,0.7749,322.94,1.0831,279.16,358183
56,1,0.45161,-610.0,-0.0076,upper,0.0516,100.583,4.662,0.7792,323.0,1.0849,280.73,994853
57,1,0.45968,-610.0,-0.0338,upper,0.0873,100.069,4.994,0.7766,322.84,1.0798,279.74,238465
58,1,0.46774,-610.0,-0.0126,upper,0.1298,99.458,4.998,0.7751,322.67,1.0738,279.1,898800
59,1,0.47581,-610.0,-0.0116,upper,0.0932,99.983,5.813,0.7912,322.82,1.079,284.99,100409
60,1,0.48387,-610.0,0.0049,upper,0.1564,99.075,3.667,0.7853,322.55,1.0701,282.72,544017
61,1,0.49194,-610.0,0.0096,upper,0.1851,98.662,4.776,0.7701,322.43,1.066,277.2,806066
62,1,0.5,-610.0,-0.0085,upper,0.2645,97.519,3.889,0.7824,322.1,1.0547,281.48,801453
63,1,0.50806,-610.0,-0.0025,upper,0.2992,97.021,3.999,0.7769,321.95,1.0498,279.44,413911
64,1,0.51613,-610.0,0.0075,upper,0.4004,95.564,5.52,0.7864,321.53,1.0354,282.69,886968
65,1,0.52419,-610.0,-0.0175,upper,0.4981,94.158,4.637,0.7805,321.12,1.0215,280.36,535920
66,1,0.53226,-610.0,0.0207,upper,0.6137,92.495,3.743,0.779,320.63,1.005,279.63,563949
67,1,0.54032,-610.0,0.0413,upper,0.6947,91.33,4.345,0.7808,320.29,0.9934,280.12,304681
68,1,0.54839,-610.0,0.008,upper,0.6818,91.515,3.851,0.7821,320.34,0.9952,280.63,126721
69,1,0.55645,-610.0,-0.0093,upper,0.7458,90.595,4.657,0.7802,320.07,0.986,279.8,35470
70,1,0.56452,-610.0,0.0048,upper,0.8252,89.451,3.309,0.7788,319.74,0.9746,279.15,151895
71,1,0.57258,-610.0,0.0238,upper,0.7725,90.21,3.995,0.7792,319.96,0.9822,279.41,789088
72,1,0.58065,-610.0,0.0258,upper,0.8373,89.278,3.364,0.7829,319.69,0.9729,280.6,57111
73,1,0.58871,-610.0,-0.0265,upper,0.8617,88.927,3.456,0.7737,319.59,0.9694,277.26,474720
74,1,0.59677,-610.0,0.0069,upper,0.9117,88.207,3.248,0.78,319.38,0.9622,279.43,107688
75,1,0.60484,-610.0,-0.0142,upper,0.9014,88.356,2.802,0.7793,319.42,0.9636,279.21,604699
76,1,0.6129,-610.0,-0.0085,upper,0.8756,88.726,3.302,0.7773,319.53,0.9674,278.53,543545
77,1,0.62097,-610.0,0.0058,upper,0.8779,88.694,3.92,0.7841,319.52,0.967,280.98,948529
78,1,0.62903,-610.0,0.0111,upper,0.8841,88.605,2.594,0.7728,319.49,0.9661,276.9,293622
79,1,0.6371,-610.0,-0.0053,upper,0.9393,87.81,2.698,0.7779,319.26,0.9582,278.65,315127
80,1,0.64516,-610.0,-0.0166,upper,0.8824,88.629,3.226,0.7752,319.5,0.9664,277.78,987737
81,1,0.65323,-610.0,-0.0036,upper,0.8875,88.555,2.273,0.783,319.48,0.9656,280.58,221479
82,1,0.66129,-610.0,-0.0203,upper,0.9085,88.254,3.491,0.7774,319.39,0.9626,278.5,869114
83,1,0.66935,-610.0,0.0352,upper,0.8954,88.442,3.298,0.7803,319.44,0.9645,279.57,125403
84,1,0.67742,-610.0,-0.0308,upper,0.8941,88.46,0.864,0.7822,319.45,0.9647,280.24,557761
85,1,0.68548,-610.0,0.0123,upper,0.8676,88.842,2.1,0.771,319.56,0.9685,276.31,918007
86,1,0.69355,-610.0,0.0025,upper,0.9016,88.352,1.704,0.7825,319.42,0.9636,280.36,131873
87,1,0.70161,-610.0,0.0005,upper,0.8896,88.525,3.153,0.7758,319.47,0.9653,277.98,117646
88,1,0.70968,-610.0,-0.0206,upper,0.9389,87.816,3.184,0.7786,319.26,0.9582,278.88,400098
89,1,0.71774,-610.0,-0.0095,upper,0.9244,88.024,1.441,0.7794,319.32,0.9603,279.19,906526
90,1,0.72581,-610.0,-0.0065,upper,0.9051,88.303,1.791,0.7845,319.4,0.9631,281.07,407496
91,1,0.73387,-610.0,-0.0105,upper,0.9268,87.99,2.217,0.7841,319.31,0.96,280.89,906737
92,1,0.74194,-610.0,-0.0046,upper,0.8976,88.411,1.937,0.7899,319.44,0.9642,283.01,107182
93,1,0.75,-610.0,0.0024,upper,0.9403,87.796,2.746,0.781,319.26,0.958,279.74,335244
94,1,0.75806,-610.0,-0.0087,upper,0.9096,88.238,2.902,0.7773,319.39,0.9625,278.49,689243
95,1,0.76613,-610.0,0.009,upper,0.9283,87.969,2.547,0.7772,319.31,0.9598,278.4,692833
96,1,0.77419,-610.0,0.0147,upper,0.8731,88.763,2.895,0.7837,319.54,0.9677,280.82,590690
97,1,0.78226,-610.0,-0.0106,upper,0.9232,88.041,2.726,0.789,319.33,0.9605,282.64,691685
98,1,0.79032,-610.0,0.0148,upper,0.8633,88.904,1.886,0.7819,319.58,0.9691,280.21,548013
99,1,0.79839,-610.0,0.0013,upper,0.854,89.038,1.555,0.7768,319.62,0.9705,278.39,84609
100,1,0.80645,-610.0,-0.011,upper,0.907,88.275,1.272,0.7815,319.4,0.9628,280.0,481553
101,1,0.81452,-610.0,0.0095,upper,0.8903,88.516,2.46,0.7814,319.47,0.9652,279.99,849188
102,1,0.82258,-610.0,0.0223,upper,0.9233,88.04,2.475,0.7802,319.33,0.9605,279.48,347641
103,1,0.83065,-610.0,-0.0063,upper,0.987,87.125,2.534,0.7758,319.06,0.9513,277.81,191741
104,1,0.83871,-610.0,-0.0363,upper,0.8959,88.435,1.435,0.7658,319.44,0.9644,274.37,247166
105,1,0.84677,-610.0,0.0155,upper,0.9034,88.327,1.347,0.777,319.41,0.9634,278.38,1778
106,1,0.85484,-610.0,0.0199,upper,0.9295,87.951,1.827,0.7859,319.3,0.9596,281.52,220841
107,1,0.8629,-610.0,-0.0221,upper,0.9395,87.808,2.569,0.7812,319.26,0.9581,279.82,786011
108,1,0.87097,-610.0,-0.0026,upper,0.9207,88.077,1.827,0.7676,319.34,0.9609,274.99,939618
109,1,0.87903,-610.0,0.0092,upper,0.9212,88.07,1.688,0.78,319.34,0.9608,279.43,72004
110,1,0.8871,-610.0,-0.0472,upper,0.9499,87.657,0.825,0.7696,319.22,0.9566,275.66,583111
111,1,0.89516,-610.0,0.0155,upper,0.946,87.714,1.793,0.7911,319.23,0.9572,283.37,683169
112,1,0.90323,-610.0,0.0144,upper,0.9009,88.363,1.835,0.7811,319.42,0.9637,279.84,377013
113,1,0.91129,-610.0,0.0161,upper,0.9312,87.927,0.63,0.7733,319.29,0.9593,276.99,813920
114,1,0.91935,-610.0,0.0297,upper,0.9363,87.853,2.733,0.7845,319.27,0.9586,281.0,510661
115,1,0.92742,-610.0,-0.0211,upper,0.9054,88.298,0.592,0.7756,319.4,0.9631,277.88,516298
116,1,0.93548,-610.0,0.0188,upper,0.9467,87.704,2.02,0.7831,319.23,0.9571,280.5,211698
117,1,0.94355,-610.0,0.0452,upper,0.9152,88.157,1.098,0.7801,319.36,0.9617,279.48,23822
118,1,0.95161,-610.0,-0.0451,upper,0.9722,87.336,1.357,0.7734,319.12,0.9534,276.96,763016
119,1,0.95968,-610.0,-0.0076,upper,0.9512,87.639,0.582,0.7837,319.21,0.9565,280.7,360739
120,1,0.96774,-610.0,0.0138,upper,0.9507,87.646,0.731,0.7725,319.21,0.9565,276.68,828979
121,1,0.97581,-610.0,-0.0146,upper,0.9332,87.898,1.701,0.7875,319.29,0.959,282.09,848870
122,1,0.98387,-610.0,-0.0368,upper,0.9509,87.643,0.97,0.7803,319.21,0.9565,279.49,229464
123,1,0.99194,-610.0,0.006,upper,0.8991,88.389,0.828,0.7742,319.43,0.964,277.4,700611
124,1,1.0,-610.0,0.0031,upper,0.9361,87.857,1.773,0.7698,319.27,0.9586,275.76,143114
125,1,0.0,-589.322,-0.0148,upper,-3.0915,145.806,19.072,1.3517,336.22,1.5108,496.86,808266
126,1,0.00806,-589.322,0.0045,upper,-2.8276,142.009,18.22,1.3262,335.11,1.4763,486.69,255671
127,1,0.01613,-589.322,0.0179,upper,-2.4352,136.363,17.861,1.2723,333.46,1.4246,465.76,341196
128,1,0.02419,-589.322,0.0197,upper,-2.2417,133.579,18.632,1.2683,332.64,1.3989,463.73,38307
129,1,0.03226,-589.322,0.008,upper,-1.9241,129.009,16.75,1.2248,331.31,1.3565,446.92,978697
130,1,0.04032,-589.322,-0.0251,upper,-1.7553,126.581,16.805,1.2027,330.6,1.3339,438.39,371625
131,1,0.04839,-589.322,-0.0066,upper,-1.513,123.094,16.458,1.1731,329.58,1.3011,426.94,389112
132,1,0.05645,-589.322,-0.046,upper,-1.3595,120.886,14.652,1.1516,328.93,1.2803,418.7,21507
133,1,0.06452,-589.322,-0.0217,upper,-1.2554,119.387,13.874,1.1466,328.49,1.2661,416.58,496482
134,1,0.07258,-589.322,0.0028,upper,-1.0343,116.206,15.147,1.1063,327.56,1.2359,401.38,746524
135,1,0.08065,-589.322,0.0104,upper,-0.906,114.36,15.388,1.0743,327.02,1.2183,389.44,555593
136,1,0.08871,-589.322,-0.001,upper,-0.842,113.44,14.529,1.0854,326.75,1.2095,393.31,785590
137,1,0.09677,-589.322,-0.0008,upper,-0.7511,112.132,13.622,1.0623,326.37,1.1969,384.71,699589
138,1,0.10484,-589.322,-0.0397,upper,-0.6613,110.839,13.207,1.0341,325.99,1.1845,374.3,956833
139,1,0.1129,-589.322,-0.0262,upper,-0.6089,110.085,14.051,1.0277,325.77,1.1772,371.85,755028
140,1,0.12097,-589.322,-0.0236,upper,-0.4783,108.207,12.871,0.9962,325.22,1.1591,360.17,458779
141,1,0.12903,-589.322,-0.0125,upper,-0.4669,108.043,11.539,0.9989,325.18,1.1575,361.1,319911
142,1,0.1371,-589.322,-0.0126,upper,-0.3982,107.055,13.052,0.9841,324.89,1.1479,355.61,361983
143,1,0.14516,-589.322,0.043,upper,-0.3727,106.687,12.419,0.9767,324.78,1.1444,352.85,183848
144,1,0.15323,-589.322,0.0194,upper,-0.3252,106.004,12.253,0.9591,324.58,1.1377,346.41,643512
145,1,0.16129,-589.322,-0.0212,upper,-0.3071,105.744,12.5,0.9529,324.5,1.1352,344.1,846929
146,1,0.16935,-589.322,-0.0141,upper,-0.1977,104.17,12.458,0.927,324.04,1.1199,334.54,823799
147,1,0.17742,-589.322,-0.0117,upper,-0.2105,104.354,11.596,0.9263,324.1,1.1217,334.28,257639
148,1,0.18548,-589.322,-0.0125,upper,-0.1507,103.493,10.764,0.9168,323.85,1.1133,330.75,209496
149,1,0.19355,-589.322,-0.0112,upper,-0.1561,103.571,8.986,0.9019,323.87,1.1141,325.38,257784
150,1,0.20161,-589.322,-0.0417,upper,-0.1568,103.58,10.644,0.9111,323.87,1.1142,328.7,648473
151,1,0.20968,-589.322,0.0226,upper,-0.1275,103.16,10.056,0.8945,323.75,1.1101,322.66,34606
152,1,0.21774,-589.322,0.0128,upper,-0.1184,103.029,10.981,0.8859,323.71,1.1088,319.51,166621
153,1,0.22581,-589.322,0.012,upper,-0.0871,102.578,10.722,0.8821,323.58,1.1044,318.08,26495
154,1,0.23387,-589.322,0.0012,upper,-0.0859,102.562,9.87,0.8745,323.57,1.1042,315.35,915481
155,1,0.24194,-589.322,0.0084,upper,-0.0725,102.368,10.358,0.8611,323.52,1.1023,310.5,123580
156,1,0.25,-589.322,-0.0081,upper,-0.0949,102.691,9.009,0.8768,323.61,1.1055,316.19,975816
157,1,0.25806,-589.322,-0.0405,upper,-0.0689,102.317,8.827,0.8697,323.5,1.1018,313.59,327101
158,1,0.26613,-589.322,0.0016,upper,0.0127,101.142,7.993,0.7731,323.16,1.0903,278.62,957945
159,1,0.27419,-589.322,-0.0004,upper,-0.0501,102.046,8.218,0.8594,323.42,1.0992,309.82,147345
160,1,0.28226,-589.322,-0.0273,upper,-0.0554,102.123,8.437,0.8592,323.45,1.0999,309.76,430794
161,1,0.29032,-589.322,-0.0459,upper,-0.0082,101.443,8.915,0.8074,323.25,1.0933,291.0,816992
162,1,0.29839,-589.322,0.0218,upper,0.0288,100.911,7.32,0.7876,323.09,1.0881,283.8,952316
163,1,0.30645,-589.322,-0.0214,upper,-0.0527,102.083,8.349,0.8632,323.43,1.0995,311.22,427566
164,1,0.31452,-589.322,-0.0051,upper,-0.0114,101.489,9.386,0.8175,323.26,1.0937,294.64,794731
165,1,0.32258,-589.322,-0.0149,upper,-0.0206,101.621,6.312,0.8268,323.3,1.095,298.03,998342
166,1,0.33065,-589.322,0.0327,upper,-0.0513,102.062,7.0,0.8628,323.43,1.0993,311.06,963335
167,1,0.33871,-589.322,-0.0309,upper,0.0265,100.944,7.056,0.7884,323.1,1.0884,284.09,59238
168,1,0.34677,-589.322,0.0201,upper,0.0064,101.234,7.671,0.7748,323.19,1.0912,279.23,135678
169,1,0.35484,-589.322,-0.0518,upper,0.0116,101.158,8.289,0.7788,323.16,1.0905,280.67,559357
170,1,0.3629,-589.322,0.0174,upper,-0.0109,101.482,7.542,0.8122,323.26,1.0937,292.74,316950
171,1,0.37097,-589.322,-0.011,upper,0.0274,100.931,6.392,0.7777,323.1,1.0883,280.23,998633
172,1,0.37903,-589.322,-0.0462,upper,-0.0004,101.331,5.605,0.7782,323.21,1.0922,280.48,149136
173,1,0.3871,-589.322,0.0001,upper,0.0134,101.132,6.088,0.7851,323.16,1.0902,282.91,871158
174,1,0.39516,-589.322,-0.0026,upper,-0.0135,101.52,5.962,0.8177,323.27,1.094,294.73,614221
175,1,0.40323,-589.322,-0.0335,upper,-0.0146,101.536,6.048,0.8193,323.27,1.0942,295.3,400097
176,1,0.41129,-589.322,0.006,upper,0.0643,100.4,5.019,0.7879,322.94,1.0831,283.85,559266
177,1,0.41935,-589.322,-0.0017,upper,0.0118,101.155,6.794,0.7768,323.16,1.0905,279.95,885170
178,1,0.42742,-589.322,0.0085,upper,0.0394,100.759,4.896,0.7797,323.05,1.0866,280.93,250536
179,1,0.43548,-589.322,-0.0292,upper,0.0342,100.832,5.878,0.7815,323.07,1.0873,281.61,995333
180,1,0.44355,-589.322,-0.0162,upper,0.0283,100.918,5.388,0.7776,323.09,1.0881,280.19,990439
181,1,0.45161,-589.322,-0.0206,upper,0.035,100.821,4.238,0.7794,323.06,1.0872,280.82,149035
182,1,0.45968,-589.322,0.0013,upper,0.0814,100.154,5.037,0.7843,322.87,1.0806,282.52,581780
183,1,0.46774,-589.322,-0.0118,upper,0.0706,100.309,4.887,0.78,322.91,1.0822,280.97,493149
184,1,0.47581,-589.322,-0.0213,upper,0.0993,99.897,4.612,0.7875,322.79,1.0781,283.63,574368
185,1,0.48387,-589.322,0.0265,upper,0.1376,99.345,5.288,0.7758,322.63,1.0727,279.34,30515
186,1,0.49194,-589.322,-0.0118,upper,0.2167,98.207,4.173,0.7811,322.3,1.0615,281.13,731632
187,1,0.5,-589.322,0.0208,upper,0.2592,97.596,6.45,0.772,322.12,1.0555,277.75,174624
188,1,0.50806,-589.322,0.0156,upper,0.3204,96.715,5.232,0.7793,321.86,1.0468,280.29,721308
189,1,0.51613,-589.322,-0.0156,upper,0.3726,95.965,3.521,0.776,321.64,1.0394,279.01,409544
190,1,0.52419,-589.322,-0.0381,upper,0.4339,95.082,2.183,0.7877,321.39,1.0307,283.08,597832
191,1,0.53226,-589.322,0.0029,upper,0.5885,92.858,5.042,0.7842,320.74,1.0086,281.54,23626
192,1,0.54032,-589.322,0.0125,upper,0.6661,91.741,4.158,0.7829,320.41,0.9975,280.92,581468
193,1,0.54839,-589.322,0.0224,upper,0.6985,91.275,3.934,0.7904,320.27,0.9928,283.56,708785
194,1,0.55645,-589.322,0.0067,upper,0.7714,90.226,3.012,0.7881,319.97,0.9824,282.62,737239
195,1,0.56452,-589.322,0.0076,upper,0.8186,89.547,2.559,0.7841,319.77,0.9756,281.06,807433
196,1,0.57258,-589.322,-0.0138,upper,0.8495,89.102,2.141,0.7761,319.64,0.9711,278.16,362844
197,1,0.58065,-589.322,-0.0157,upper,0.8735,88.758,5.555,0.7718,319.54,0.9677,276.59,535297
198,1,0.58871,-589.322,0.0635,upper,0.8472,89.135,4.715,0.7798,319.65,0.9715,279.5,131068
199,1,0.59677,-589.322,0.0219,upper,0.9169,88.132,2.935,0.778,319.35,0.9614,278.71,126948
200,1,0.60484,-589.322,-0.0278,upper,0.8416,89.216,4.776,0.7763,319.67,0.9723,278.26,666154
201,1,0.6129,-589.322,0.005,upper,0.9102,88.23,1.755,0.7784,319.38,0.9624,278.86,736810
202,1,0.62097,-589.322,0.0082,upper,0.903,88.333,3.697,0.7707,319.41,0.9634,276.11,743736
203,1,0.62903,-589.322,-0.0371,upper,0.9173,88.127,3.631,0.7884,319.35,0.9614,282.45,870428
204,1,0.6371,-589.322,-0.0068,upper,0.9496,87.661,2.324,0.7736,319.22,0.9567,277.06,620841
205,1,0.64516,-589.322,0.0103,upper,0.9396,87.806,2.575,0.7762,319.26,0.9581,278.03,606235
206,1,0.65323,-589.322,0.0324,upper,0.8621,88.92,2.044,0.7832,319.58,0.9693,280.69,765305
207,1,0.66129,-589.322,0.0316,upper,0.8471,89.137,2.836,0.7708,319.65,0.9715,276.26,52402
208,1,0.66935,-589.322,-0.0081,upper,0.9234,88.039,3.779,0.7852,319.33,0.9605,281.28,482140
209,1,0.67742,-589.322,-0.0074,upper,0.8695,88.814,3.464,0.7853,319.55,0.9682,281.42,101145
210,1,0.68548,-589.322,-0.0103,upper,0.9006,88.367,2.945,0.7782,319.42,0.9638,278.83,621430
211,1,0.69355,-589.322,0.0036,upper,0.9272,87.985,3.44,0.7739,319.31,0.9599,277.23,738129
212,1,0.70161,-589.322,0.0163,upper,0.8536,89.043,1.085,0.7773,319.62,0.9705,278.59,630924
213,1,0.70968,-589.322,-0.0219,upper,0.8406,89.231,4.041,0.7695,319.68,0.9724,275.82,759158
214,1,0.71774,-589.322,-0.0045,upper,0.9126,88.194,2.345,0.7879,319.37,0.962,282.25,449568
215,1,0.72581,-589.322,-0.0128,upper,0.9071,88.273,1.288,0.7803,319.4,0.9628,279.56,303574
216,1,0.73387,-589.322,-0.0165,upper,0.8994,88.384,1.975,0.7758,319.43,0.9639,277.97,562434
217,1,0.74194,-589.322,-0.0113,upper,0.9089,88.248,1.711,0.7749,319.39,0.9626,277.6,498419
218,1,0.75,-589.322,0.036,upper,0.8829,88.621,2.25,0.7832,319.5,0.9663,280.66,749442
219,1,0.75806,-589.322,0.0342,upper,0.8643,88.889,2.373,0.7885,319.58,0.969,282.58,616785
220,1,0.76613,-589.322,0.0287,upper,0.9058,88.293,0.226,0.7728,319.4,0.963,276.87,917604
221,1,0.77419,-589.322,-0.0344,upper,0.8826,88.625,3.029,0.7767,319.5,0.9663,278.33,977390
222,1,0.78226,-589.322,0.0053,upper,0.8635,88.9,3.354,0.77,319.58,0.9691,275.96,812562
223,1,0.79032,-589.322,0.0475,upper,0.9291,87.957,1.117,0.7838,319.3,0.9596,280.78,847634
224,1,0.79839,-589.322,0.0075,upper,0.9132,88.186,3.065,0.7809,319.37,0.9619,279.76,599943
225,1,0.80645,-589.322,-0.0152,upper,0.9283,87.968,2.849,0.7928,319.31,0.9598,284.0,845535
226,1,0.81452,-589.322,0.0112,upper,0.8876,88.554,2.613,0.7793,319.48,0.9656,279.24,990740
227,1,0.82258,-589.322,-0.0061,upper,0.8987,88.395,3.063,0.7775,319.43,0.964,278.58,752670
228,1,0.83065,-589.322,-0.009,upper,0.8896,88.525,0.624,0.776,319.47,0.9653,278.04,377148
229,1,0.83871,-589.322,0.0043,upper,0.8942,88.459,2.264,0.7848,319.45,0.9647,281.21,675761
230,1,0.84677,-589.322,0.0088,upper,0.9279,87.974,0.846,0.7708,319.31,0.9598,276.1,918397
231,1,0.85484,-589.322,-0.0043,upper,0.8999,88.378,3.494,0.7843,319.43,0.9639,280.99,494831
232,1,0.8629,-589.322,-0.0012,upper,0.9353,87.867,0.803,0.7814,319.28,0.9587,279.9,937992
233,1,0.87097,-589.322,-0.0215,upper,0.9362,87.855,0.566,0.7771,319.27,0.9586,278.37,984220
234,1,0.87903,-589.322,-0.0017,upper,0.9882,87.107,2.397,0.7749,319.05,0.9511,277.46,89877
235,1,0.8871,-589.322,0.0136,upper,0.8871,88.562,1.964,0.786,319.48,0.9657,281.63,126401
236,1,0.89516,-589.322,0.0011,upper,0.957,87.556,1.459,0.7906,319.19,0.9556,283.14,364712
237,1,0.90323,-589.322,-0.0044,upper,0.9292,87.955,1.513,0.7775,319.3,0.9596,278.5,697107
238,1,0.91129,-589.322,-0.03,upper,0.9331,87.899,1.86,0.783,319.29,0.9591,280.48,220014
239,1,0.91935,-589.322,0.022,upper,0.8917,88.495,2.715,0.7899,319.46,0.965,283.03,622161
240,1,0.92742,-589.322,-0.0243,upper,0.9232,88.042,0.743,0.7765,319.33,0.9605,278.16,549044
241,1,0.93548,-589.322,0.0129,upper,0.9612,87.495,0.834,0.7786,319.17,0.955,278.84,27760
242,1,0.94355,-589.322,-0.0081,upper,0.9384,87.823,0.791,0.7731,319.26,0.9583,276.91,985879
243,1,0.95161,-589.322,0.0154,upper,0.9455,87.721,1.164,0.7792,319.23,0.9573,279.08,875844
244,1,0.95968,-589.322,0.0203,upper,0.9367,87.848,1.204,0.7795,319.27,0.9585,279.23,522428
