seq,session,level,module,msg_code,iter,elapsed_raw,resid_cont,resid_mom,resid_energy,cells_k,mem_mb,cpu_pct,gpu_util,node_id,rank,thread,queue_depth,retry,flag,checksum,note,free_text
114,sess-D,DEBUG,alloc,1698,3967,8.678,0.00023185566150698962,0.0006051195413569514,9.205021339990856e-06,3747,9754,25.0,69.1,12,104,0,47,3,1,9f5c53e3,ok,step 114 div
115,sess-B,WARN,chem,2157,1429,8.303,6.807867751615252e-05,9.837896052154819e-05,2.7720241964540054e-05,1398,13273,77.8,54.9,33,104,7,51,0,1,96ac1371,stall,step 115 conv
116,sess-D,INFO,alloc,5086,789,10.954,0.0010571802064446097,0.0017171156823239666,0.00010219579194072164,3480,19384,71.9,52.1,45,116,61,38,0,1,1d0d9e51,retry,step 116 flux
117,sess-B,DEBUG,solver,7058,169,31.345,0.0008406639530503362,0.00032244942135376144,1.5916065537088483e-05,3586,9113,50.4,22.4,20,252,0,22,1,1,b880d0ab,stall,step 117 hold
118,sess-A,WARN,post,2782,723,5.114,0.0011332517048345877,0.00023281648875889246,0.00015256461338720263,3618,29550,37.3,1.1,2,221,3,17,0,0,bba48f1c,stall,step 118 flux
119,sess-B,INFO,io,3452,4213,4.298,0.00044146058969954567,0.00026443462241067684,1.1239181861080226e-06,2269,2296,98.2,22.2,21,184,41,16,3,1,e22ee01e,stall,step 119 conv
120,sess-A,INFO,io,6943,3811,24.497,0.0024761657612844385,0.0004302442159894526,1.663496342563931e-05,850,18786,81.0,79.1,13,100,9,49,1,1,e57c5564,clamp,step 120 flux
121,sess-A,WARN,bc,9320,947,8.995,0.0027552876983444933,6.867840387786572e-05,0.00010285734529257055,1668,10257,95.2,71.4,2,127,50,58,0,1,b2e20696,retry,step 121 conv
122,sess-A,DEBUG,chem,5916,1833,0.914,0.0014213467520731706,0.00020735637257452682,0.0001579010540515747,2164,15469,31.8,52.1,40,162,10,0,1,1,5170bee5,ok,step 122 div
123,sess-C,WARN,io,6447,4962,11.464,0.00010135032581088762,0.002710156014576388,3.614939048867367e-06,2060,20901,83.3,90.4,29,88,15,0,3,0,29845856,ok,step 123 div
124,sess-C,INFO,turb,5593,2491,13.086,0.0016499644711539148,0.001846384856041385,0.00012192833983063488,3772,16545,18.0,94.0,42,32,25,11,0,0,96c3cc3e,clamp,step 124 flux
125,sess-B,INFO,mesh,9583,3520,10.995,0.0007117970301459087,0.0005299449332437469,0.00011106428037204537,1849,19101,54.1,85.1,17,96,40,53,3,1,ad41e61e,skip,step 125 flux
126,sess-C,INFO,alloc,6286,4413,18.751,0.001641881988843869,0.001113747256321878,0.0006974196669887437,1227,23419,29.9,99.6,30,158,3,47,2,0,9c41c670,,step 126 hold
127,sess-D,WARN,solver,3457,1601,22.829,0.0015329688380106077,0.0021008530626082807,4.422493712885395e-05,2817,3551,24.0,40.3,17,185,59,5,3,1,fc1cea0a,ok,step 127 hold
128,sess-A,INFO,post,7059,429,3.813,0.00010876444049622152,0.000620491401860157,3.206182312641116e-05,3641,3367,34.9,50.8,5,238,35,24,3,1,47b7fe8a,,step 128 hold
129,sess-B,INFO,alloc,8434,978,6.632,0.0003419165967815128,0.002833845034320322,0.000187322297431111,2076,18042,37.8,38.4,43,10,0,51,3,0,c7369bad,,step 129 conv
130,sess-A,INFO,turb,2488,643,0.873,4.501115050212673e-05,0.0006710864473584649,3.4887081803276914e-05,3630,21150,53.6,55.8,39,237,33,15,0,1,d5379e81,clamp,step 130 flux
131,sess-A,INFO,mesh,3058,566,21.749,0.003069146941499092,0.004098431865309644,6.149110885574015e-05,3902,13503,14.5,43.5,10,8,3,8,0,1,027f0692,retry,step 131 hold
132,sess-A,TRACE,chem,3606,2786,6.231,0.0007280926704902721,0.0047199579418242266,1.9108726360900312e-05,3645,30665,25.1,4.3,5,16,10,62,1,1,48d063c4,skip,step 132 div
133,sess-B,INFO,solver,1413,2573,7.282,0.0009413253359507337,6.514556945479018e-06,0.00036458903659008953,3166,7225,62.9,49.1,9,173,43,37,3,0,d7a7cbf2,stall,step 133 hold
134,sess-B,INFO,solver,6291,897,1.91,0.0013542656786830938,0.00013148009291839358,0.0002916307191652677,1678,14662,27.0,36.2,33,108,28,40,0,1,8ef73b62,skip,step 134 hold
135,sess-B,DEBUG,alloc,1403,3772,8.438,0.0004447972744791984,0.0011870598966723077,0.00014624706167743902,3416,29344,46.7,41.5,46,123,34,6,1,1,06309835,ok,step 135 conv
136,sess-A,DEBUG,solver,6518,4771,11.749,0.0010675613185626234,0.00040301817283820517,0.00011682877823234413,4085,14707,41.1,12.0,16,81,9,62,0,0,d140755f,clamp,step 136 conv
137,sess-A,DEBUG,turb,9225,3164,8.742,0.0004877593414585353,6.915426052824677e-05,4.903319354894044e-05,1638,22440,50.6,81.5,9,48,10,40,2,0,11ac1dda,ok,step 137 hold
138,sess-D,ERROR,io,6655,751,21.707,0.004305828350386699,0.004920823001017182,7.850579432919576e-05,1471,11056,60.1,67.0,46,175,34,33,2,0,9002b3d4,skip,step 138 flux
139,sess-C,TRACE,mesh,1371,4072,2.797,0.000616789613601291,0.0007066345944288432,2.608571845320723e-06,4024,9951,39.5,10.8,33,58,13,60,3,1,0ab7e8d2,ok,step 139 hold
140,sess-B,WARN,bc,2401,4718,8.994,1.2336470391180463e-05,0.0014547644769364648,0.00021341626335819053,879,6910,56.5,66.1,40,158,22,37,1,1,8f509743,stall,step 140 div
141,sess-B,INFO,chem,2052,2177,5.299,0.00043826069177337767,0.00029273675698877487,2.9744312364259457e-05,2624,16594,87.9,24.9,33,117,37,20,2,1,79f3e482,retry,step 141 flux
