time,pitot_p1,pitot_p2,pitot_p3,pitot_p4,static_p,temp_t1,vib_acc_x,vib_acc_y,vib_acc_z
0.0145,108.293,105.589,104.272,104.463,99.2057,301.968,1.98306,1.26623,1.27342
0.015,108.104,105.227,104.184,104.355,99.2721,302.109,1.55647,1.05722,1.22061
0.0155,107.405,104.014,103.605,104.045,99.079,302.037,-0.230466,-0.203124,0.686539
0.016,107.24,105.189,104.512,105.92,99.1273,302.097,-0.412638,0.900926,2.13677
0.0165,107.954,106.298,104.569,106.315,99.1997,302.074,-0.225666,1.26885,-0.00529244
0.017,108.421,106.496,105.877,106.386,99.1718,302.065,-2.00957,-0.455229,0.222485
0.017,108.3,106.666,107.242,nan,99.1061,302.035,-0.940854,-0.658073,0.375054
0.018,108.844,107.72,108.776,109.354,99.0202,302.046,0.594118,0.122102,1.56569
0.0185,109.057,108.974,109.448,109.883,99.0709,302.165,-2.80451,-1.10499,1.20965
0.019,108.315,108.841,110.162,111.782,99.0262,302.282,-3.64411,-1.71877,-0.158766
0.0195,107.632,108.919,110.37,111.376,99.1324,302.129,-1.59144,-0.344309,0.17205
0.02,107.53,108.488,110.315,nan,99.2235,302.147,-1.34217,-2.10649,-0.789911
0.0205,106.821,108.807,111.178,112.599,99.2715,302.241,-1.91141,-2.38312,-1.98567
0.021,106.539,106.788,111.051,nan,99.2521,302.175,1.51346,-1.90063,-0.841562
0.0215,105.04,107.29,110.181,112.391,99.1731,302.246,-0.590695,-0.59665,-1.91064
0.022,105.049,108.593,110.528,nan,99.1503,302.18,0.88427,-1.77169,-1.55321
0.0225,105.046,108.567,110.961,111.204,99.2145,302.237,0.798042,1.14393,-1.50136
0.023,105.108,108.867,110.73,nan,99.2089,302.22,0.0865008,0.28361,-0.102865
0.0235,106.696,109.557,111.481,110.815,99.3061,302.217,1.34119,-0.208343,-1.32978
0.024,107.993,110.15,112.901,111.858,99.2394,302.218,1.6092,0.20398,-0.531723
0.0245,108.831,112.066,113.883,111.829,99.3115,302.136,4.93519,1.09313,-0.881691
0.025,111.223,113.613,115.489,112.662,99.2304,302.116,3.29795,2.7279,-1.4338
0.0255,112.49,114.688,116.258,113.274,99.3569,302.297,2.58392,1.01959,0.237831
0.026,113.797,116.842,117.875,114.156,99.2534,302.235,1.99202,0.601503,1.02996
0.0265,114.87,117.682,118.874,113.139,99.4338,302.258,-0.987648,2.62749,0.52803
0.027,115.979,117.814,120.229,nan,99.5028,302.31,0.862584,1.93021,1.6631
0.0275,115.574,118.606,119.55,nan,99.455,302.327,-1.83221,1.75277,0.397459
0.028,116.639,118.213,119.927,115.688,99.387,302.273,0.959878,2.85044,1.9748
0.0285,116.627,118.05,119.263,114.293,99.5393,302.31,-0.555114,-0.624115,2.23005
0.029,115.455,117.268,119.365,nan,99.3805,302.346,-1.65001,0.235336,1.53475
0.0295,116.102,117.886,118.615,nan,99.5415,302.222,-1.06856,-2.36826,1.1613
0.03,115.649,115.733,118.105,112.435,99.4831,302.191,-2.69714,-0.480205,0.517552
0.0305,116.015,115.826,116.404,nan,99.514,302.269,-1.44804,-0.541002,1.35815
0.031,115.633,116.022,116.005,110.057,99.4316,302.185,0.540083,-0.990851,0.145154
0.0315,116.166,115.945,115.077,109.655,99.3423,302.174,-0.343238,-1.14444,1.77811
0.032,116.886,115.004,115.232,nan,99.4596,302.336,-2.02033,-2.47998,1.01177
0.0325,117.099,115.55,114.303,109.045,99.3308,302.125,1.05677,-2.55504,0.862356
0.033,118.512,116.239,114.157,108.241,99.3476,302.186,0.475407,-3.14291,0.336103
0.0335,118.97,116.282,114.677,nan,99.3453,302.183,1.3204,-2.86004,0.494161
0.034,119.819,116.536,114.419,107.878,99.3391,302.296,1.10626,0.0309624,-0.928448
0.0345,119.732,116.689,114.25,nan,99.203,302.138,2.34422,0.771572,0.514915
0.035,120.41,116.429,113.741,109.211,99.1347,302.19,2.83481,0.756121,-0.755687
0.0355,119.833,116.317,114.415,108.448,99.1503,302.203,2.14348,-0.257367,-0.826731
0.036,118.755,114.263,114.205,nan,99.1171,302.132,1.55865,1.41225,-0.350719
0.0365,118.017,114.177,112.925,107.311,99.1171,302.195,-0.240341,-0.297459,-0.979605
0.037,116.961,112.286,112.227,108.116,99.029,302.205,0.991658,1.29416,-1.17684
0.0375,115.732,111.161,110.392,nan,98.8937,302.214,1.33688,0.864627,1.20338
0.038,112.861,109.377,109.513,nan,98.7649,302.174,-0.275533,1.26747,-2.26252
0.0385,112.547,109.205,108.215,nan,99.0101,302.265,-0.035925,2.60396,-0.532762
0.039,111.24,106.532,106.466,106.098,98.8149,302.098,-1.15095,2.11532,0.989317
0.0395,110.154,107.035,105.053,nan,98.7728,302.241,-1.47067,0.0751204,0.324153
0.04,109.227,106.018,104.831,103.616,98.6959,302.087,-2.5593,1.48712,0.271218
0.0405,109.925,106.058,104.604,nan,98.6566,302.156,-2.68924,-0.0639645,0.803326
0.0405,108.847,106.936,104.902,104.447,98.4747,302.108,-2.3007,-0.680851,0.425197
0.0415,109.742,106.674,104.127,nan,98.4865,302.102,-2.72297,-0.273321,1.51763
0.042,110.22,107.583,106.139,nan,98.4968,302.102,-1.10007,-0.27439,0.610666
0.0425,109.109,108.24,106.526,105.465,98.3029,301.978,-0.918116,-0.0822977,0.045827
0.043,109.61,107.738,106.985,nan,98.2045,302.149,0.0101782,-0.932393,0.463943
0.0435,108.932,108.933,107.42,107.319,98.3595,302.093,-1.66877,-2.5759,-0.0108703
0.044,109.095,108.565,108.242,108.549,98.3244,302.067,-1.28843,-2.85183,1.15614
0.0445,108.925,107.718,109.139,nan,98.2316,302.175,-0.347644,-3.42144,0.845972
0.0445,108.282,107.504,109.382,109.356,98.1017,302.033,1.74068,-1.18205,2.33284
0.0455,105.766,106.676,109.399,110.448,98.1901,302.033,2.84998,-0.0387313,1.34972
0.046,105.404,106.667,108.476,nan,97.9319,302.046,3.51991,0.772057,0.9588
0.0465,105.24,106.629,108.757,110.798,98.1067,302.046,1.03982,-0.579246,1.0738
0.047,105.177,106.645,108.766,109.923,98.0594,302.078,0.604662,-1.65723,-0.470521
0.0475,104.607,106.595,108.631,110.963,97.9928,302.04,0.368772,0.570646,-0.687271
0.048,104.419,106.89,108.601,110.473,97.8459,301.893,0.74759,-0.0305664,-1.30427
0.0485,105.538,107.754,109.331,109.959,97.9201,302.013,2.2098,0.50889,0.407324
0.049,106.419,108.815,110.469,111.467,98.0606,302.026,0.391752,0.598607,0.28823
0.0495,107.596,110.461,110.399,111.856,97.9735,302.043,-1.13335,1.532,-1.94854
0.05,108.76,112.267,112.657,nan,97.9125,301.999,-0.986937,2.10385,-0.0516491
0.0505,110.625,113.205,113.107,nan,97.9181,301.964,-1.72915,2.11965,-0.820615
0.051,111.876,114.427,114.531,nan,97.9846,302.001,-3.17992,0.653719,-0.631898
0.051,112.785,115.295,115.86,nan,98.064,302.084,-2.88891,-0.215959,-0.829229
0.052,113.537,116.667,117.792,113.771,98.0969,302.021,-1.9499,0.272584,-0.144858
0.0525,113.604,116.729,118.587,114.163,98.1287,302.079,-0.839013,0.466483,-1.11853
0.053,114.182,116.277,119.434,114.769,98.1087,301.977,-0.652889,-0.573547,0.0559965
0.0535,114.923,117.224,118.909,nan,98.1231,302.022,-0.720458,-0.480135,-1.34729
0.054,114.244,116.898,118.656,116.132,98.198,302.033,-2.35758,-0.654364,0.863502
0.0545,113.608,116.117,119.655,nan,98.1116,301.922,0.882944,-0.862497,0.630083
0.055,114.745,115.647,118.425,114.487,98.186,302.079,1.21759,-1.31804,0.416969
0.0555,114.55,115.581,116.479,114.184,98.2013,302.082,3.29134,-0.564678,0.389155
0.056,115.582,115.215,116.392,112.782,98.1229,302.091,3.00279,-3.39245,1.27704
0.0565,115.335,116.187,116.255,nan,98.0252,302.018,2.37524,-0.482301,0.359027
0.057,115.946,116.725,116.407,111.425,98.1728,301.981,2.50533,-0.692606,0.436334
0.0575,116.515,117.098,116.354,111.594,98.1937,301.998,2.13801,-0.534179,0.793251
0.058,118.717,117.344,115.097,nan,98.3199,301.969,1.47422,0.46479,0.593586
0.0585,120.221,117.85,115.968,nan,98.029,301.916,1.72779,0.845225,1.27776
0.059,119.6,118.321,115.849,110.115,98.2568,301.971,2.2586,-1.34093,2.20964
0.0595,120.197,118.893,116.069,110.282,98.1838,302.064,0.203581,-0.173396,0.914654
0.06,120.889,117.675,116.201,109.691,98.115,302.042,-1.05314,1.76172,0.113094
0.0605,120.069,117.431,115.869,108.948,98.0446,301.888,-2.74523,2.37487,0.231023
0.061,119.7,116.276,115.758,109.137,98.0651,302,-2.29963,2.07274,0.428248
0.0615,118.732,114.903,115.445,108.852,97.9278,301.956,-2.603,2.60759,-0.652794
0.062,117.782,114.169,114.94,nan,97.9946,301.971,-2.88788,0.45573,-1.1165
0.0625,116.854,113.054,113.053,109.322,98.0102,301.963,-1.85612,0.961011,-1.58597
0.063,115.089,110.777,112.91,108.277,97.9383,301.98,-2.23409,0.152392,-0.692105
0.0635,114.26,110.346,110.715,108.081,98.0218,302.107,-2.42897,2.22399,-0.305669
0.064,112.693,109.204,109.763,108.086,97.9893,301.99,-1.58451,1.08131,-1.60433
0.064,112.263,108.398,107.696,105.88,97.8997,302.02,-0.687782,1.02424,-1.35228
0.065,110.761,108.342,106.489,106.183,97.9375,302.02,0.948694,1.06486,-1.43786
0.0655,110.837,107.403,106.629,104.498,97.7783,301.99,1.26672,-0.744595,-0.806663
0.0655,111.757,108.408,105.908,nan,97.859,302.004,0.918126,-0.808988,-0.107534
0.0665,111.25,107.851,104.701,nan,97.7623,301.93,1.28252,-2.02366,-1.28315
0.067,111.81,108.483,105.875,104.161,97.7606,302.038,1.14301,-0.821866,0.032635
0.0675,111.757,107.859,105.383,103.675,97.6014,302.067,1.25128,-2.57729,0.751528
0.068,111.857,108.939,106.782,104.777,97.7522,302.073,1.43999,-0.129797,-1.22746
0.0685,111.173,108.438,107.5,104.661,97.5952,302.088,1.75264,-1.9572,0.913869
0.0685,110.535,107.869,107.704,105.826,97.8108,302.085,1.56361,-2.46637,-0.453947
0.0695,109.115,107.166,107.959,nan,97.6822,302.087,2.55302,-2.25679,0.441385
0.07,107.769,107.018,108.227,107.295,97.655,302.03,0.463411,-1.69534,-0.0625544
0.0705,106.603,106.792,108.277,108.733,97.5922,301.993,-0.00291576,-0.977363,-0.444389
0.071,105.618,105.863,107.774,108.656,97.6359,302.217,-1.93784,-0.142402,2.64064
0.0715,104.445,105.077,107.988,108.702,97.6947,302.099,-1.05059,-0.107607,2.21556
0.072,104.072,104.733,107.198,nan,97.7243,302.096,-2.44089,2.72374,0.845699
0.0725,104.006,104.774,106.415,nan,97.8434,301.953,-0.523052,1.15977,2.00079
0.073,104.287,105.567,107.102,108.835,97.7128,302.166,-1.68872,0.971538,2.22835
0.0735,104.558,105.898,107.786,nan,97.7328,302.124,-1.37758,2.46318,1.5231
0.074,104.741,107.514,107.842,109.293,97.7778,302.144,-2.51586,1.51058,-0.141175
0.0745,106.606,109.42,108.002,109.469,97.8186,302.203,-3.61843,2.22891,0.446866
0.075,107.945,110.357,108.745,nan,97.9287,302.145,-1.55239,-0.201735,0.229606
0.0755,109.526,111.685,110.073,nan,97.8617,302.149,-1.32021,0.641346,0.242299
0.076,110.425,112.73,112.255,nan,97.8741,302.146,1.21984,0.632901,-0.487478
0.0765,110.828,114.25,113.485,nan,97.9644,302.258,1.97599,0.410654,-0.0721688
0.077,111.458,114.929,114.231,nan,98.0283,302.181,-0.145697,-0.185464,-1.11111
0.0775,113.008,115.663,115.955,111.614,98.1332,302.217,1.39777,-1.09988,-1.72488
0.078,112.648,114.964,117.502,nan,98.293,302.191,1.53152,-3.8473,-1.11032
0.0785,113.099,114.743,117.62,113.767,98.0179,302.138,2.51935,-1.55994,-2.14992
0.079,113.15,114.773,118.019,nan,98.4046,302.244,2.27011,-0.896685,-1.53787
0.0795,111.868,114.333,117.797,nan,98.4322,302.255,2.24154,-0.329799,-0.201976
0.08,112.46,114.693,117.133,115.071,98.5776,302.238,2.63139,-1.34111,1.41709
0.0805,112.788,114.583,117.822,116.056,98.5741,302.239,0.670479,-1.8081,-0.126036
0.081,113.386,114.658,117.262,nan,98.5519,302.196,-0.0762596,-1.84913,-1.85209
0.0815,114.199,115.443,116.849,nan,98.7711,302.254,-1.5117,-0.447275,-0.861303
0.082,115.106,116.51,116.731,114.754,98.8023,302.266,-0.222003,-0.330913,-1.1083
0.0825,116.299,117.159,115.993,113.457,98.764,302.349,-0.569317,0.302632,0.458316
0.083,116.85,117.412,115.882,111.866,98.9235,302.35,-1.87217,-0.118071,0.384052
0.0835,118.598,118.39,116.456,111.15,98.9,302.358,-2.7462,1.17087,0.399523
0.084,119.351,119.029,116.137,nan,98.8483,302.24,-1.59919,1.13206,0.283805
0.0845,120.425,119.42,116.286,nan,98.9019,302.245,-3.45116,2.46545,1.19662
0.085,120.52,118.933,117.394,111.619,98.9124,302.422,-1.98771,0.2905,1.75004
0.0855,120.926,118.111,117.612,111.649,98.9921,302.336,-1.8062,0.0400228,1.30869
0.086,120.58,117.978,117.635,112.05,99.1198,302.316,-0.0398519,-0.403498,-0.502159
0.0865,119.611,116.381,117.89,111.546,98.8786,302.31,-1.70326,2.5407,0.910135
0.087,118.625,115.357,117.677,110.684,99.051,302.379,0.197193,1.6412,-0.340405
0.0875,117.42,114.048,116.304,nan,99.0796,302.325,0.502283,0.599153,0.81479
0.088,116.081,113.208,114.637,110.555,99.24,302.244,-0.864208,1.19366,1.15968
0.0885,115.195,111.473,113.443,110.119,99.1097,302.305,2.24436,-1.77106,0.513054
0.089,114.245,110.771,112.323,109.449,99.0706,302.461,1.37625,-0.639824,-0.777035
0.0895,114.047,109.936,111.147,108.947,99.0353,302.319,2.62796,-1.86384,0.321305
0.09,113.571,109.397,109.863,nan,99.0444,302.369,2.40808,-2.6238,-0.90431
0.0905,113.705,109.813,108.907,nan,99.0203,302.378,1.78835,-1.71551,-0.101728
0.091,112.944,109.305,108.657,nan,99.0739,302.331,0.340919,-1.5899,-0.819987
0.0915,113.966,109.805,106.807,105.178,99.2181,302.392,1.07401,-0.723606,-0.726216
0.0915,113.308,109.849,107.382,nan,99.1234,302.392,-0.378077,-2.58209,-2.16012
0.0925,113.202,109.018,106.889,nan,99.1703,302.376,-0.620931,-1.13367,-1.63042
0.093,113.078,108.951,107.257,nan,99.0247,302.426,1.40798,-1.02274,-1.13805
0.0935,112.299,107.987,107.39,104.664,98.9976,302.336,-0.190833,-1.42016,0.451017
0.094,111.756,108.783,108.341,nan,99.0558,302.35,-3.20815,-1.69727,-0.523204
0.094,110.255,108.001,108.534,106.032,98.8587,302.317,-2.88586,-1.30386,-1.07348
0.095,108.751,106.804,108.945,105.975,98.9773,302.268,-3.70754,1.3107,-1.85947
0.0955,107.498,105.9,109.145,nan,98.9901,302.273,-2.55798,1.2963,-1.17555
0.096,107.13,105.165,107.469,107.052,99.0303,302.262,-1.00279,0.970577,-1.90471
0.0965,105.514,104.421,107.553,107.819,98.8904,302.406,-1.65139,1.57128,-0.779207
0.097,104.215,104.321,107.429,107.476,98.9941,302.345,1.31107,1.60405,-0.834285
0.0975,104.281,104.331,106.905,107.884,98.9986,302.317,-0.203562,1.81295,0.589609
0.098,103.588,104.363,106.217,108.885,98.9016,302.224,-0.507312,1.95775,-0.794446
0.0985,105.333,106.008,105.376,nan,99.0621,302.267,3.9559,2.37662,0.0438344
0.099,104.599,106.846,106.453,nan,99.1742,302.267,1.41016,1.35478,2.24976
0.0995,106.325,107.479,105.473,108.704,99.0694,302.279,2.14506,2.03824,1.61628
0.1,107.35,109.791,106.839,108.333,98.9766,302.232,2.56624,0.459386,0.850996
0.1005,107.508,111.153,107.183,107.581,98.8484,302.204,4.11032,-0.88695,0.680992
0.101,109.128,111.785,108.431,nan,99.1526,302.136,1.75992,-0.552895,0.825481
0.1015,110.115,112.666,110.288,109.305,99.0602,302.189,1.97205,-1.02521,1.13189
0.102,110.352,112.596,111.025,nan,99.2601,302.228,0.749633,-1.52238,-0.362933
0.1025,110.488,113.079,113.119,nan,99.2201,302.241,0.131434,-1.80822,0.830101
0.103,110.802,112.718,114.106,110.905,99.2716,302.147,0.665052,-2.43388,2.23139
0.1035,110.373,113.164,114.678,nan,99.2901,302.167,1.3293,-0.816053,-0.236964
0.104,110.322,113.63,115.839,112.441,99.3067,302.121,-0.439341,-1.68157,0.967773
0.1045,110.083,113.011,116.42,112.931,99.4663,302.151,-0.680685,-2.22875,-0.876364
0.105,110.534,112.556,116.767,113.523,99.1247,302.113,-2.96109,-1.22155,-1.50399
0.1055,110.258,114.108,116.877,nan,99.5404,302.102,-3.76499,-0.455354,-1.03653
0.106,111.663,114.721,115.624,115.735,99.4744,301.994,-3.75485,0.482521,-1.79455
0.1065,112.084,115.235,115.598,115.423,99.5013,302.099,-3.66105,0.212997,-1.33965
0.107,113.049,114.903,115.38,nan,99.6143,302.016,0.130083,1.26356,-0.433697
0.1075,115.032,116.842,114.992,nan,99.374,302.037,-0.854338,1.1574,-1.5196
0.108,117.012,117.192,116.469,113.708,99.5469,301.998,1.65413,1.90729,-1.44195
0.1085,118.055,118.384,115.744,nan,99.4929,301.892,-2.29233,-0.501952,0.42089
0.109,118.593,119.433,116.287,112.65,99.6168,302.005,-0.413702,3.1415,-1.25153
0.1095,119.968,120.187,116.861,112.254,99.5496,301.982,1.17104,2.7151,-1.3475
0.11,119.989,119.396,117.353,110.958,99.5735,302.004,1.17064,2.85364,-1.0444
0.1105,120.246,119.209,118.757,111.661,99.6292,301.868,3.183,0.805904,-1.1617
0.111,120.085,118.2,118.962,110.852,99.5665,301.745,2.50316,0.647816,-0.0201166
0.1115,118.514,117.781,118.914,nan,99.5258,301.853,3.74416,0.626732,1.66343
0.112,118.792,116.268,119.055,112.523,99.6271,301.867,0.669732,1.29057,1.33767
0.1125,117.398,115.259,119.001,111.97,99.3896,301.887,0.620104,-1.07887,1.89911
0.1125,116.668,114.593,118.263,nan,99.4238,301.792,0.489586,-0.0130768,0.732212
0.1135,115.585,113.247,117.485,112.262,99.339,301.741,0.551755,-0.581637,0.858021
0.1135,115.001,112.473,116.409,nan,99.5334,301.681,1.33154,0.117126,0.477284
0.1145,114.904,111.959,114.287,nan,99.3464,301.601,1.54743,-1.2827,0.828304
0.115,115.534,111.84,112.67,110.599,99.3734,301.681,-1.36993,-2.44972,0.297578
0.1155,115.955,111.956,111.548,110.609,99.2876,301.709,-2.55233,-1.62562,1.14504
0.116,115.416,110.959,110.645,109.353,99.3416,301.64,-2.99388,-1.88765,1.55378
0.1165,116.058,110.854,109.439,107.678,99.1352,301.668,-3.61854,-1.30072,0.886161
0.117,115.559,111.731,109.209,nan,99.2503,301.648,-3.2782,-0.726137,0.546254
0.1175,114.737,111.69,108.249,107.056,99.0546,301.553,0.670462,-0.964637,-0.419856
0.118,115.201,111.65,108.661,nan,98.8569,301.546,-1.37526,-0.504594,-1.22743
0.1185,114.615,110.847,108.914,104.572,98.9566,301.578,-1.46075,0.25151,-0.388299
0.119,113.235,110.431,108.616,104.644,99.0182,301.545,0.145222,-1.43033,-1.77753
0.1195,112.278,108.955,109.455,nan,98.9019,301.52,-1.05781,1.56074,-0.500527
0.12,110.961,107.393,109.901,103.562,98.7559,301.499,0.0491281,2.28665,-0.98781
0.1205,108.875,106.938,107.863,nan,98.7808,301.372,1.69146,1.59173,-0.697831
0.121,107.206,105.166,108.504,nan,98.6753,301.511,4.42952,2.76734,-1.36574
0.1215,106.513,104.446,108.245,107.159,98.7441,301.386,4.14552,1.52851,-0.880546
0.122,105.588,104.379,107.958,nan,98.5757,301.424,0.853006,0.600628,-1.07065
0.1225,104.956,103.961,106.436,106.211,98.4544,301.433,1.14869,0.248632,-1.36574
0.123,105.325,104.655,106.118,107.452,98.5777,301.303,1.26867,0.953305,-1.02457
0.1235,105.801,104.691,105.926,107.764,98.3138,301.244,2.10528,0.378707,-2.01633
0.124,105.365,106.417,104.94,106.184,98.4358,301.342,2.25704,0.0461495,-0.83006
0.1245,106.5,106.304,104.347,nan,98.2604,301.284,1.51159,0.681293,0.277331
0.125,107.362,108.106,104.429,nan,98.3826,301.325,0.534222,0.480154,0.231833
0.1255,108.006,108.712,105.221,nan,98.236,301.144,-1.57876,-0.659559,0.295264
0.126,108.767,110.409,106.098,106.629,98.343,301.174,-1.19044,-2.30819,0.930291
0.1265,108.594,110.351,107.142,nan,98.1702,301.145,-2.83003,-2.95093,1.09889
0.127,109.275,111.39,108.262,106.356,98.2861,301.21,-3.94932,-1.5477,0.611489
0.1275,109.806,110.079,108.724,108.218,98.1367,301.151,0.148221,-1.84817,-0.909473
0.128,109.12,111.128,110.613,nan,98.2114,301.088,-0.73403,-0.72993,1.01224
0.1285,108.265,112.042,112.038,108.918,98.2858,301.093,-2.65975,-0.950753,0.216004
0.129,108.543,111.384,113.236,109.967,98.1843,301.124,-2.10584,0.00231058,0.555556
0.1295,108.707,111.34,114.127,nan,98.1435,301.05,0.297813,0.31776,1.38848
0.13,108.442,111.822,114.103,nan,98.1218,301.131,-0.143873,-0.94548,1.00761
0.1305,108.452,112.817,114.857,nan,98.1809,301.015,2.13286,-1.20521,0.400994
0.131,110.063,112.045,115.217,112.114,98.0573,301.102,4.12535,0.0306551,-0.747278
0.1315,109.93,113.338,114.67,113.036,98.2252,300.963,2.91648,2.0984,-0.673128
0.132,111.966,114.265,114.654,113.982,98.2664,300.875,2.43165,1.64065,-0.614694
0.1325,113.219,115.927,114.097,114.749,98.1733,300.936,2.02165,2.83338,-1.46447
0.133,114.25,116.564,113.951,115.446,98.175,300.97,1.23322,2.59573,-0.684307
0.1335,116.719,117.319,114.86,nan,98.2906,300.851,2.25565,2.69698,-0.0085011
0.134,117.62,118.22,115.335,114.325,98.2793,300.86,2.8188,0.784087,-0.755652
0.1345,117.963,119.686,116.332,nan,98.2372,300.909,2.09828,1.67044,-1.28286
0.135,119.336,119.738,116.619,112.565,98.3263,300.97,1.55724,1.36707,-0.272656
0.1355,119.161,119.864,117.256,nan,98.26,300.948,0.132093,1.19999,-0.589243
0.136,118.456,118.399,118.143,111.719,98.2844,300.832,-0.415893,0.78036,-0.670358
0.1365,118.595,117.929,119.391,112.889,98.2669,300.777,-2.34473,-0.0802195,-0.672447
0.137,118.434,117.14,118.964,113.456,98.3841,300.789,-1.9644,-0.0338103,-1.07113
0.1375,117.951,116.694,120.489,112.512,98.1691,300.791,-0.719472,-0.871268,-1.34668
0.138,117.145,115.563,119.588,112.919,98.3647,300.761,-2.08953,-0.951233,-0.984819
0.1385,116.614,114.477,119.214,113.581,98.15,300.754,-0.704073,-2.24084,-0.83863
0.139,116.504,113.502,118.238,nan,98.1961,300.878,-2.87312,-0.394098,-1.11014
0.1395,116.15,113.573,117.888,112.907,98.0455,300.781,-3.92841,-0.975821,-0.13628
0.14,116.871,113.117,115.435,113.546,98.0835,300.671,-1.31825,-1.56734,1.20435
0.1405,116.728,113.651,114.98,nan,97.9087,300.749,-1.32347,-1.25309,0.905555
0.141,117.144,114.079,113.631,nan,98.1762,300.786,0.779945,0.255137,1.12964
0.1415,117.562,113.512,112.885,nan,97.9232,300.761,0.660881,-0.655842,1.27565
0.142,117.059,113.006,111.924,110.085,98.0728,300.767,2.11434,-1.80358,1.54596
0.1425,117.13,114.226,110.568,nan,98.0171,300.858,1.55054,-0.385195,2.04398
0.143,117.685,113.093,110.022,109.331,98.0587,300.738,1.61867,0.809074,1.32113
0.1435,116.46,112.354,109.7,nan,97.7671,300.738,2.19628,1.97403,0.593509
0.144,115.152,111.23,110.503,nan,97.8546,300.736,1.43947,2.61739,0.500447
0.1445,114.097,110.097,110.925,nan,97.7676,300.65,2.84777,1.84422,-0.343178
0.145,112.259,108.791,110.838,nan,97.757,300.724,1.93146,1.99941,1.23742
0.1455,111.028,107.577,110.523,105.524,97.744,300.75,2.47213,2.1542,-0.557619
0.146,109.149,105.693,110.619,105.454,97.733,300.69,0.64489,0.98402,0.339859
0.1465,108.248,105.047,109.315,nan,97.821,300.764,-0.236925,2.06521,0.480326
0.147,106.454,104.636,109.697,106.463,97.7173,300.779,-0.0877954,2.86393,-1.0667
0.1475,107.003,104.423,108.876,106.71,97.5831,300.648,0.460205,1.05672,-0.678929
0.148,105.914,104.497,107.752,nan,97.5597,300.671,-0.436942,0.393631,-0.881557
0.1485,105.484,104.98,106.522,nan,97.5414,300.603,-2.55572,-0.394782,-0.772892
0.149,106.34,104.731,106.018,107.196,97.5621,300.596,-1.27406,0.0256685,0.188107
0.1495,106.737,105.906,103.976,nan,97.5104,300.731,-2.21378,-2.77107,-1.38389
0.15,107.479,106.922,103.696,nan,97.7271,300.595,-3.57094,-0.79537,-2.1373
0.1505,107.411,108.099,104.05,106.18,97.6647,300.694,-2.1401,-2.81501,-1.2753
0.151,108.399,108.69,104.317,106.395,97.5706,300.769,-0.470953,-1.19235,-0.882264
0.1515,109.898,110.09,104.798,105.048,97.4744,300.698,0.919606,-2.89304,-0.503223
